Nombre del producto,Empresa,Ingredientes ,Fórmula,Uso ,Dosis ,Tiempo de retiro ,Número de certificado o registro,Clasificación ,Fecha de registro,Fecha de vigencia
Apicamarón 3 30% (ENGORDA INICIAL) MEDICADO CON OXITETRACICLINA Probióticos,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, sorgo, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal,  lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A, D, E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, sulfato de cobre, óxido de magnesio, óxido de  manganeso, yodo, óxido de zinc, sulfato ferroso, sulfato de  potasio,Pediococcus acidilactici.1.0x10^10 UFC/ g ( Próbiotico), oxitetraciclina 4000g/t.",Proteína min….30.00%            Cenizas max……11.00%           humedad max…10.00%                   fibra max…………3.00%                    grasa min………..6.00%               ELN………………….40.00%                   ,"Alimento balanceado medicado con oxitetraciclina como antimicrobiano de amplio espectropara camarón posterior al pre- criadero, en la fase de iniciación una vez sembrados en los estanques de engorda, en las primeras semanas o hasta que las post larvas de 0.004 g adquieran un peso aprox. de 2  g. Camarón",De acuerdo a la etiqueta que se somete a aprobación,No debera ofrecerse 30 días antes del sacrificio de los animales destinados para consumo humano.,AM-136/2018-002,Alimento Medicado ,06-jun-18,06-jun-23
Apicamarón 3 30% (ENGORDA INICIAL) MEDICADO CON OXITETRACICLINA SimbioAcid,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, sorgo, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal,  lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A, D, E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, sulfato de cobre, óxido de magnesio, óxido de  manganeso, yodo, óxido de zinc, sulfato ferroso, sulfato de  potasio,oligosacáridos y glucomananos de S. cerevisiae, ácido cáprico y ácido caprílico,Pediococcus acidilactici.1.0x10^10 UFC/ g ( Próbiotico), oxitetraciclina 4000g/t.",Proteína min….30.00%            Cenizas max……11.00%           humedad max…10.00%                   fibra max…………3.00%                    grasa min………..6.00%               ELN………………….40.00%                   ,"Alimento balanceado medicado con oxitetraciclina como antimicrobiano de amplio espectropara camarón posterior al pre- criadero, en la fase de iniciación una vez sembrados en los estanques de engorda, en las primeras semanas o hasta que las post larvas de 0.004 g adquieran un peso aprox. de 2  g. Camarón",De acuerdo a la etiqueta que se somete a aprobación,No debera ofrecerse 30 días antes del sacrificio de los animales destinados para consumo humano.,AM-136/2018-003,Alimento Medicado ,07-jun-18,07-jun-23
Apicamarón 3 30% (ENGORDA INICIAL) MEDICADO CON OXITETRACICLINA Simbiótico,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, sorgo, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal,  lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A, D, E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, sulfato de cobre, óxido de magnesio, óxido de  manganeso, yodo, óxido de zinc, sulfato ferroso, sulfato de  potasio,oligosacáridos y glucomananos de S. cerevisiae, ácido cáprico y ácido caprílico,Pediococcus acidilactici.1.0x10^10 UFC/ g ( Próbiotico), oxitetraciclina 4000g/t.",Proteína min….30.00%            Cenizas max……11.00%           humedad max…10.00%                   fibra max…………3.00%                    grasa min………..6.00%               ELN………………….40.00%                   ,"Alimento balanceado medicado con oxitetraciclina como antimicrobiano de amplio espectropara camarón posterior al pre- criadero, en la fase de iniciación una vez sembrados en los estanques de engorda, en las primeras semanas o hasta que las post larvas de 0.004 g adquieran un peso aprox. de 2  g. camarón",De acuerdo a la etiqueta que se somete a aprobación,No debera ofrecerse 30 días antes del sacrificio de los animales destinados para consumo humano.,AM-136/2018-004,Alimento Medicado ,06-jun-18,06-jun-23
ACTIPAL HC 6,"Specialites Pet Food, S.A. de C.V. ","Hidrolizado de proteína de Krill, Ácido ascórbico, extracto de romero y tocoferoles ",Humedad máx……………………50.00% Proteína mín.…….………………35.00% Grasa máx……………….................4.00% Cenizas máx…………………….14.00%,Hidrolizado de krill para su inclusión en alimento para la palatabilidad. Peces y camarón,20 a 50 Kg. por tonelada de alimento.,no aplica ,DGSA-DSAP-CSAUA-002-(3)/2014,Aditivo ,26-feb-14,26-feb-19
NUTRIPAL DFS,"Specialites Pet Food, S.A. de C.V. ","Subproductos de especies silvestres 80% merluza, 20% lenguado, cornia, pescadilla y otras especies dermersales","Humedad máx…………………06.00%
Proteína mín.…….…………….67.00%
Grasa mín.…………..................13.00%
Cenizas máx…………………...20.00%
",Soluble de pescado para su inclusión en alimento. Peces y camarón,10 a 50 Kg. por tonelada de alimento.,no aplica ,DGSA-DSAP-CSAUA-003-(3)/2014,Aditivo ,26-feb-14,26-feb-19
SFF. MYCROZYME PREMIX,"Vimifos, S.A. de C.V.","Bacillus subtilis, Bacillus licheniformis","Bacillus subtilis 10^11, Bacillus licheniformis 10^11 UFC /g",premezcla de probióticos para alimento balanceado para camarón,uso en alimento,No aplica,DGSA-DSAP-CSAUA-013-(3)/2017,Aditivo ,25-sep-17,25-sep-22
"RESCUE, Probiotico para la Larvicultura","Nutrición Marina, S.A. de C.V.","Bacillus subtillis, B. licheniformis, B. pumilus, B. amyloliquefaciens, dextrosa y sal denditritica",Humedad max: …………….7%     Proteína mín: ………………1% Grasa min: ………………….0.2% Fibra máx: ………………….1%   Cenizas max: ………………36% Fósforo min: …………….1.10%                   E.L.N……………………… 54.8%,"Remediador de agua. Camarón, tilapia, bagre, trucha",aplicar entre 2 a 10 g de producto por cada tonelada de agua,No Aplica,B-010/2018-001,Biológico ,30-ago-18,30-ago-23
"REMETIATE, Probiotico para la Larvicultura","Nutrición Marina, S.A. de C.V.","Bacillus subtillis, B. licheniformis, B. megaterium, B. amyloliquefaciens, B. pumilus, dextrosa y sal denditritica",Humedad max: …………….7%     Proteína mín: ………………1% Grasa min: ………………….0.2% Fibra máx: ………………….1%   Cenizas max: ………………38%              E.L.N……………………… 52.8%,"Remediador de agua. Camarón, tilapia, bagre, trucha",aplicar entre 2 a 10 g de producto por cada tonelada de agua,No Aplica,B-010/2018-002,Biológico ,04-sep-18,04-sep-23
LIQUALIFE PL ,"Agribrands Purina México, S. de R.L. de C.V. ","Agua, propilenglicol, cloruro de calcio, proteína animal (plasma, higado de pollo, albúmina), proteína de orgen marino (harina de pescado, camarón, calamar y krill), aciete de pescado, lecitina de soya, levadura, probióticos desnaturalizados (Bacillus licheniformis y Bacillus subtilis), Betaina, goma, emulsificnate, astaxantina, aminoácidos (glicina, alanina, isoeleucina, leucina, cerina, valina), antioxidantes (etoxiquin), vitainas A, B, D, C, K, tiamina, riboflavina, B12, niacina, ácido pantoténico, ácido fólico, biotina, minerales (cobre, hierro, manganeso, coblato, iodo, zinc, selenio, magnesio. ",Humedad max:……………. 66%        Proteína mín:………………. 3%  Grasa min: ………………….2% Fibra máx: ………………….0.2% Fósforo min:…………….. 0.01%,Alimento para postlarva de camarón ,"PL5 26 ml/Ton SW/Día, PL6 27 ml/Ton SW/Día, PL7 28 ml/Ton SW/Día, PL8 29 ml/Ton SW/Día, PL9 30 ml/Ton SW/Día, PL10 31 ml/Ton SW/Día, PL11 32 ml/Ton SW/Día, PL12 33 ml/Ton SW/Día, PL13 34 ml/Ton SW/Día y PL14 35 ml/Ton SW/Día. ",No aplica ,A-037/2013-005,Alimento ,17-sep-18,17-sep-23
LIQUALIFE ZM,"Agribrands Purina México, S. de R.L. de C.V. ","Agua, propilenglicol, cloruro de calcio, proteína animal (plasma, higado de pollo, albúmina), proteína de orgen marino (harina de pescado, camarón, calamar y krill), aciete de pescado, lecitina de soya, levadura, probióticos desnaturalizados (Bacillus licheniformis y Bacillus subtilis), Betaina, goma, emulsificnate, astaxantina, aminoácidos (glicina, alanina, isoeleucina, leucina, cerina, valina), antioxidantes (etoxiquin), vitainas A, B, D, C, K, tiamina, riboflavina, B12, niacina, ácido pantoténico, ácido fólico, biotina, minerales (cobre, hierro, manganeso, coblato, iodo, zinc, selenio, magnesio. ",Humedad max:……………. 66% Proteína mín:……………….. 3%  Grasa min:…………………... 2% Fibra máx: ………………….0.2% Fósforo min: ………………0.01%,Alimento para postlarva de camarón ,"Z1 5 mL/Ton SW/día, Z1-Z2 7 mL/Ton SW/día, Z2 9 mL/Ton SW/día, Z3 /M1 11 mL/Ton SW/día y M2 13 mL/Ton SW/día.",No aplica,A-037/2013-006,Alimento ,17-sep-18,17-sep-23
LIQUALIFE M-PL,"Agribrands Purina México, S. de R.L. de C.V. ","Agua, propilenglicol, cloruro de calcio, proteína animal (plasma, higado de pollo, albúmina), proteína de orgen marino (harina de pescado, camarón, calamar y krill), aciete de pescado, lecitina de soya, levadura, probióticos desnaturalizados (Bacillus licheniformis y Bacillus subtilis), Betaina, goma, emulsificnate, astaxantina, aminoácidos (glicina, alanina, isoeleucina, leucina, cerina, valina), antioxidantes (etoxiquin), vitainas A, B, D, C, K, tiamina, riboflavina, B12, niacina, ácido pantoténico, ácido fólico, biotina, minerales (cobre, hierro, manganeso, coblato, iodo, zinc, selenio, magnesio. ",Humedad max:……………. 66%            Proteína mín:………………. 3% Grasa min:………………….. 2% Fibra máx: ………………..0.2% Fósforo min: ……………..0.01%,Alimento para postlarva de camarón ,"M3 16 mL/Ton SW/día, M3/PL 19 mL/Ton SW/día, PL1 21 Ml/Ton SW/día, PL2 23 Ml/Ton SW/día, PL3 24 Ml/Ton SW/día, PL4 25 Ml/Ton SW/día.",No aplica ,A-037/2013-007,Alimento ,17-sep-18,17-sep-23
Apicamarón 2 35% (PRECRíA MIGAJA 3) ácidos organicos,"Malta Texo de México, S.A. de C.V. ","trigo, Maíz, sorgo, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de mapiz, gluten de trigo, aceite de pescado, aceite vegetal, lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, Vitamina A y D estabilizadas, Vitamina E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, sulfato de cobre, óxido de mannesio, óxido de manganeso, yodo, óxido de zinc, sulfato ferroso, sulfato de potasio, ácido caprico y ácido caprílico",Humedad max:……………. 10%            Proteína mín:………………. 35% Grasa min:………………….. 6% Fibra máx: ………………..5% cenizas max: ……………..11%,"Alimento balanceado para camarón en el periodo del pre-criadero, en la fase de iniciación",De acuerdo a la etiqueta que se somete a aprobación,No aplica ,A-136/2018-074,Alimento,16-oct-18,16-oct-23
Apicamarón 2 35% (Engorda Inicial) ácidos organicos,"Malta Texo de México, S.A. de C.V. ","trigo, Maíz, sorgo, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maiz, gluten de trigo, aceite de pescado, aceite vegetal, lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, Vitamina A y D estabilizadas, Vitamina E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, sulfato de cobre, óxido de magnesio, óxido de manganeso, yodo, óxido de zinc, sulfato ferroso, sulfato de potasio, ácido caprico y ácido caprílico",Humedad max:……………. 10%            Proteína mín:………………. 35% Grasa min:………………….. 6% Fibra máx: ………………..5% cenizas max: ……………..11%,"Alimento balanceado para camarón en el periodo del pre-criadero, en la Fase de iniciación",De acuerdo a la etiqueta que se somete a aprobación,No aplica ,A-136/2018-073,Alimento,16-oct-18,16-oct-23
Previtep Aquamar 25%,"Premezclas y Vitaminas TEPA, S.A. de C.V.","Cereales molidos, harina de pescado y/o bovino y/o avicola, harina de subproductos de oleaginosas, subproductos de trigp, subproductos de pescado, aceite de pescado, lisina, metionina, sal, carbonato de calcio, fosfato de monocálcico, cloruro de becaina, zinc, hierro, suplemento de vitamina E, niacina, cobre, manganeso, suplemento de vit. A, pantotenato de calcio, biotina, suplemento de vit. B12, ácido pantoténico, ácido fólico, clorhidrato de piridoxina (fuente de vit. B6), mononitrato de tiamina (Vit. B1), complejo bisulfito de sodio, menadiona (fuente de vit. K) yoduro de calcio, Suplemento de vit. D3, inositol, suplemento de riboflavina (vit. B2 ) vit. C, carbonato de cobalto, selenito de sodio, yodo, cobalto.",Humedad max:……………. 12%            Proteína mín:………………. 25% Grasa min:………………….. 5% Fibra máx: ………………..3% cenizas max: ……………..12%,Alimento peletizado para camarón,De acuerdo a la etiqueta que se somete a aprobación,No aplica ,A-214/2018-001,Alimento,16-oct-18,16-oct-23
Previtep Aquamar 30%,"Premezclas y Vitaminas TEPA, S.A. de C.V.","Cereales molidos, harina de pescado y/o bovino y/o avicola, harina de subproductos de oleaginosas, subproductos de trigp, subproductos de pescado, aceite de pescado, lisina, metionina, sal, carbonato de calcio, fosfato de monocálcico, cloruro de becaina, zinc, hierro, suplemento de vitamina E, niacina, cobre, manganeso, suplemento de vit. A, pantotenato de calcio, biotina, suplemento de vit. B12, ácido pantoténico, ácido fólico, clorhidrato de piridoxina (fuente de vit. B6), mononitrato de tiamina (Vit. B1), complejo bisulfito de sodio, menadiona (fuente de vit. K) yoduro de calcio, Suplemento de vit. D3, inositol, suplemento de riboflavina (vit. B2 ) vit. C, carbonato de cobalto, selenito de sodio, yodo, cobalto.",Humedad max:……………. 12%            Proteína mín:………………. 30% Grasa min:………………….. 5.5% Fibra máx: ………………..3.5% cenizas max: ……………..12%,Alimento peletizado para camarón,De acuerdo a la etiqueta que se somete a aprobación,No aplica ,A-214/2018-002,Alimento,16-oct-18,16-oct-23
Previtep Aquamar 35%,"Premezclas y Vitaminas TEPA, S.A. de C.V.","Cereales molidos, harina de pescado y/o bovino y/o avicola, harina de subproductos de oleaginosas, subproductos de trigp, subproductos de pescado, aceite de pescado, lisina, metionina, sal, carbonato de calcio, fosfato de monocálcico, cloruro de becaina, zinc, hierro, suplemento de vitamina E, niacina, cobre, manganeso, suplemento de vit. A, pantotenato de calcio, biotina, suplemento de vit. B12, ácido pantoténico, ácido fólico, clorhidrato de piridoxina (fuente de vit. B6), mononitrato de tiamina (Vit. B1), complejo bisulfito de sodio, menadiona (fuente de vit. K) yoduro de calcio, Suplemento de vit. D3, inositol, suplemento de riboflavina (vit. B2 ) vit. C, carbonato de cobalto, selenito de sodio, yodo, cobalto.",Humedad max:……………. 12%            Proteína mín:………………. 35% Grasa min:………………….. 6% Fibra máx: ………………..6.5% cenizas max: ……………..12%,Alimento peletizado para camarón,De acuerdo a la etiqueta que se somete a aprobación,No aplica ,A-214/2018-003,Alimento,16-oct-18,16-oct-23
Previtep Aquamar 40%,"Premezclas y Vitaminas TEPA, S.A. de C.V.","Cereales molidos, harina de pescado y/o bovino y/o avicola, harina de subproductos de oleaginosas, subproductos de trigp, subproductos de pescado, aceite de pescado, lisina, metionina, sal, carbonato de calcio, fosfato de monocálcico, cloruro de becaina, zinc, hierro, suplemento de vitamina E, niacina, cobre, manganeso, suplemento de vit. A, pantotenato de calcio, biotina, suplemento de vit. B12, ácido pantoténico, ácido fólico, clorhidrato de piridoxina (fuente de vit. B6), mononitrato de tiamina (Vit. B1), complejo bisulfito de sodio, menadiona (fuente de vit. K) yoduro de calcio, Suplemento de vit. D3, inositol, suplemento de riboflavina (vit. B2 ) vit. C, carbonato de cobalto, selenito de sodio, yodo, cobalto.",Humedad max:……………. 12%            Proteína mín:………………. 40% Grasa min:………………….. 7.5% Fibra máx: ………………..3% cenizas max: ……………..12%,Alimento peletizado para camarón,De acuerdo a la etiqueta que se somete a aprobación,No aplica ,A-214/2018-004,Alimento,16-oct-18,16-oct-23
AQUAXCEL STARTER 5014,"Agribrands Purina México, S. de R.L. de C.V. ","Proteinas animales de origen marinos (harina de pescado y/o harina de calmar) proteinas animales (harina de pollo y/o harinas de plumas y/o harinas de cerdo y /o harina de sangre) cereales molidos, proteinas vegetales (soya), aceite de pescado, leicitina de soya, suplemento de Vit. E, clouro de colina, complejo bisulfito de meniadiona sodico, mononitrato de tiamina, aceite mineral, suplemento de niacina, pantotenato de clacio, riboflavina, suplemento de biotina, suplemento de vit. A, hidrocloruro de piridoxina, biotina, esteroles de mamiferos D activados (fuente de Vit. D3) ácido fólico, suplemento de vit. B12, suplemento de vit. C, cloruro de sodio, bicarbonato de sodio, carbonato de calcio, oxido de magnesio, sulfato de zionc, sulfato de hierro, sulfato de manganeso, sulfato de cobre, selenito de sodio, selenio, EDDI, carbonato de cobalto, aminoacidos: DL-metionina, lisina, treonina, prebiotico: Basillus licheniformis y B. subtillis >= 2.2E+9UFC/g conservantes Etoxiquin y/oBHA","Humedad max: …………….11%     Proteína mín: ………………50% Grasa min: ………………….14% Fibra máx: ………………….3%   Cenizas max: ……………...10% Fósforo min: …………….1%       Calcio min: 1.5%,            E.L.N……………………… 12%",Alimento para camarón ,de 3 a 250 g de 12 a 24 veces al día,No aplica ,A-037/2013-001,Alimento ,30-oct-18,30-oct-23
AQUAXCEL CAMARONES STARTER 4509,"Agribrands Purina México, S. de R.L. de C.V. ","Proteinas vegetales, cereales molidos, proteinas de animales marinos (harina de pescado y/o harina de calamar), proteínas animales (harina de pollo y/o harina de plumas y/o harina de cerdo y/o harina de sangre), aceite de pescado, lecitina, extracto de levadura seca inactiva, colesterol, suplemento de vitamina E, cloruro de colina, cloruro de potasio, complejo de bisulfito sódico de manadiona, mononitrato de tiamina, suplemento de biotina, suplemento de niacina, suplemento de vitamina A, clorhidrato de piridoxina, suplemento de vitamina A, clorhidrato de piridoxina, suplemento de vitamina D3, ácido fólico, suplemento de vitamina B-12, inositol, suplemento de cobre, selenito de sodio, EDDI, carbonato de cobalto, DL- metionina, lisina, treonina, triptofano, prebiotico: Bacillus licheniformis y B. subtilis >=2.2E+9 UFC/g, sabores naturakes, conservadores: ácido propiónico y/o Etoxioquina y/o BHT.","Humedad max: …………….11%     Proteína mín: ……………...45% Grasa min: ………………….9% Fibra máx: ………………….3%   Cenizas max: ……………...10% Fósforo min: …………….1.10%       Calcio min: 1.5%, max: 2%             E.L.N……………………… 22%",Alimento para camarón ,tamaño de particula 0.6mm PL5-PL10 40-35% de la biomasa cada hora y partícula 0.8 mm 0.10g a 0.25g 35-20% de biomasa cada 6 veces al día. ,No aplica ,A-037/2013-008,Alimento ,14-ago-19,14-ago-24
Apicamaón raceways 3 migaja chica,"Malta Texo de México, S.A. de C.V. ","Trigo Maíz, Sorgo, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal, lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, vitamina, A, D, E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, sulfato de cobre, oxido de magnesio, oxido de manganeso, yodo, óxido de zinc, sulfato ferroso, sulfato de potasio, selenio y cromo orgánico, oligosacáridos, glucomananos Saccharomyces cerevisiae, ácido cáprico y ácido caprílico, Pediococcus acidilactici 1.0X10 10 UFC/g (probiotico)",Proteína min….40.00%            Cenizas max……15.00%           humedad max…12.00%                   fibra max…………4.00%                    grasa min………..8.00%               ELN………………….21.00%                   ,Alimento balanceado para camarón en el periodo de pre-cría eb raceways,De acuerdo a la etiqueta que se somete a aprobación,No aplica ,A-136/2019-001,Alimento,20-may-19,20-may-24
Apicamaón raceways 4 migaja grande,"Malta Texo de México, S.A. de C.V. ","Trigo Maíz, Sorgo, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal, lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, vitamina, A, D, E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, sulfato de cobre, oxido de magnesio, oxido de manganeso, yodo, óxido de zinc, sulfato ferroso, sulfato de potasio, selenio y cromo orgánico, oligosacáridos, glucomananos Saccharomyces cerevisiae, ácido cáprico y ácido caprílico, Pediococcus acidilactici 1.0X10 10 UFC/g (probiotico)",Proteína min….40.00%            Cenizas max……15.00%           humedad max…12.00%                   fibra max…………4.00%                    grasa min………..8.00%               ELN………………….21.00%                   ,Alimento balanceado para camarón en el periodo de pre-cría eb raceways,De acuerdo a la etiqueta que se somete a aprobación,No aplica ,A-136/2019-002,Alimento,20-may-19,20-may-24
SANACORE GM,"Adisseo de México, S.A. de C.V.","Carbonato de calcio, aceite vegetal, extractos de levadura inactiva de cerveza (Saccharomyces cerevisiae), exipiente (ácido silícico), aroma (extracto de romero), propinato de calcio como conservador",Cada 100 g contiene:                      Proteína mín.…………......3.5 g.  Grasa mín.………….…....5.0 % Fibra máx…………………4.0 %.   Humedad máx…………..15.0 %.    Cenizas………………….63.0 %. E.L.N………………….9.5 %.,Promotor de crecimiento natural a través de la modulación en la micro-flora intestinal. ,"de 2.0- 2.5 Kg/TM de alimento balanceado para iniciadores y de pre-cría, de 1.0-2.0 Kg/TM de alimento balanceado para el desarrollo y engorda ",No aplica,DGSA-DSAP-CSAUA-001-(3)/2019,Aditivo ,11-jul-19,11-jul-24
Palabex,"Vimifos, S.A: de C.V.","Dimetil-?-propiothetin (DMPT), Vehículo (Dióxido de Silicio)  y Residuos en ignición 0.5 Máx.","Dimetil-?-propiothetin (DMPT) .85% Min., Perdida por secado 1.0% Máx., Vehículo (Dióxido de Silicio) 15% Máx. y Residuos en ignición 0.5 Máx.","Saborizante atrayente en la alimentación de animales acuáticos, cuyo olor es a alga marina. Su funcion es la de incrementar el consumo de alimento.",300-800 g/tonelada de alimento.,No aplica,DGSA-DSAP-CSAUA-003-(3)/2019,Aditivo ,07-jun-19,07-jun-24
NÚCLEO OXI-BLEND AQUA,"Laboratorio Avi-Mex, S.A. de C.V.",Oxitetraciclina,"Cada 1,000 g contiene:            Oxitetraciclina HCl…………. 650.0 g            Excipiente (Solución de goma laca 10%) c.b.p.……..…..….…1,000.0 g","Antibiótico de amplio espectro con efecto bacteriostático formulado como micro-esferas de oxitetraciclina para ser utilizado en el alimento  de peces en cualquier fase de desarrollo. Está indicado para el tratamiento de las infecciones bacterianas causadas por agentes susceptibles a la fórmula. tilapia, carpa, bagre, trucha, salmón y jurel",50-75mg de principio activo por Kilogramo de biomasa durante 7-14 días consecutivos. ,Tilapia: 15 días; Carpa: 10 días; Bagre: 21 días; Trucha arcoíris: 30 días; Salmón Atlántico: 32 días; Salmón del Pacífico: 20 días; Jurel: 20 días.,DGSA-DSAP-CSAUA-018-(1)/2016,Antibiótico ,28-ago-19,28-ago-24
NÚCLEO FLOR-BLEND AQUA,"Laboratorio Avi-Mex, S.A. de C.V.",Florfenicol,"Cada 1,000 g de producto contiene:  Florfenicol base…................650.00 g.                  Recubrimiento (Solución de goma laca 10%) c.b.p……..1,000.00 g.","Antibiótico de amplio espectro con efecto bacteriostático formulado como microesferas del florfenicol para ser utilizado en el alimento de peces en cualquier fase de desarrollo. Indicado para el tratamiento de las infecciones bacterianas cuasadas por agentes susceptibles a la fórmula. Tilapia, bagre y salmon",10 mg de principio activo por Kilogramo de biomasa durante 7 a 10 días consecutivos,Tilapia: 15 días; Bagre: 12 días y Salmón Atlántico: 12 días,DGSA-DSAP-CSAUA-017-(1)/2016,Antibiótico ,28-ago-19,28-ago-24
NÚCLEO ENROBLEND AQUA,"Laboratorio Avi-Mex, S.A. de C.V.",Enrofloxacina,"Cada 1,000 g de producto contiene:  Enrofloxacina…................700.00 g.                  Excipiente (Solución de goma laca 10%) c.b.p……..1,000.00 g.","Antibiótico de amplio espectro con efecto bacteriano formulado como microesferas de enrofloxacina para ser utilizado en el alimento de peces en cualquier fase de desarrollo. Indicado para el tratamiento de infecciones bacterianas causadas por agentes susceptibles a la fórmula. Tilapia, trucha y Salmón",10-15 mg de principio activo por Kilogramo de biomasa durante 7-14 días consecutivos,Tilapia: 56 días; Carpa herbívora: 37 días; Trucha arcoiris: 60 días y Salmón: 60 días,DGSA-DSAP-CSAUA-016-(1)/2016,Antibiótico ,28-ago-19,28-ago-24
Bactocell,"Lallemand Mexico, S.A. de C.V.",Pediococcus acidilactici,Pediococcus acidilactici MA 18/5m (no menos de).. 1x10E10UFC/g                            Excipiente c.b.p??????1g,"Suplemento Nutricional Probi¢tico Elaborado en polvo para camarones, salm¢nidos y tilapia. ","Camarones (Crecimiento 100g/Ton y Finalizaci¢n 1000g/Ton.), S",No aplica ,DGSA-DSAP-CSAUA-012-(3)/2017,Aditivo ,13-ago-19,13-ago-24
Epicin-Ponds,"Proveedora de Insumos Acuícolas, S.A. de C.V.  ","Bacillus subtillis, Bacillus licheniformis, Bacillus coagulans, Lactobacillus acidophilus y Saccharomyces cerevisiae 2E9 UFC/g","Bacillus subtilis, Bacillus licheniformis, Bacillus coagulans, Lactobacillus acidophilus y Saccharomyces cerevisiae mín ……………………………….2x109 UFC/g.","cultivos microbianos que eliminan los productos de desecho en el agua, tales como amoníaco, nitritos y sulfuro de hidrógeno. Camarón",,,DSAP-CSAUA-007-(3)/2014,Aditivo ,01-jul-19,01-jul-24
Epicin-3W,"Proveedora de Insumos Acuícolas, S.A. de C.V.  ","Bacillus subtillis, Bacillus licheniformis, Bacillus pumilus, Lactobacillus acidophilus y Saccharomyces cerevisiae 1E9 UFC/g","Bacillus subtilis, Bacillus licheniformis, Bacillus coagulans Lactobacillus acidophilus, y Saccharomyces cerevisiae mín ……………………………….1x109 UFC/g","cultivos microbianos que eliminan los productos de desecho en el agua, tales como amoníaco, nitritos y sulfuro de hidrógeno. camarón",,No aplica ,DGSA-DSAP-CSAUA-006-(3)/2014,Aditivo ,01-jul-19,01-jul-24
5Z0Z MAZURI GREEN SEA TURTLE DIET,"Pet Foods, S.A. de C.V.","Trigo quebrado, harina de pescado, maíz molido, harina de soya descascarillada, harina de gluten de maíz, harina de carne y harina de cerdo, harina de camarón, salvado de trigo, grasa porcina conservada con BHA y ácido citríco, harina de subproductos avícolas, sal, levadura cerveza seca (Saccharomyces cerevisiae), clorhidrato de piridoxina, dl-metionina, lisina, cloruro de colina, biotina, L—ascorbil-2-polifosfato (vitamina C estabilizada), Pantotenato de calcio, acetato de tocoferol d-alfa (forma de vitamina E), ácido fólico, suplemento de riboflavina, mononitrato de tiamina, acetato de vitamina A, Ácido nicotínico, suplemento de vitamina B12, colecalciferol, etoxiquina (como conservador), óxido de zinc, complejo de bisulfito de sodio de menadiona (fuente de vitamina K), óxido manganoso, carbonato ferroso, sulfato de cobre, sulfato de zinc, yodato de calcio, carbonato de calcio, carbonato de cobalto.",Humedad ………12.00%   max        Proteina cruda 35.00%min           Fibra  cruda……5.00%   max                Grasa cruda…….07.00%min                 Cenizas ………….09.80%   max  E.LN…………………42.00% ,Alimento para las etapas de desarrollo juvenil de la vida de las tortugas marinas,"Se alimentan solo con la cantidad de alimento que las tortugas consumen en un dia. Las cantidades de aliemento dependeran de la especie, la edad, sexo, tamaño y estado de gravidez de los animales",No aplica,A-059/2016-002,Alimento,27-jun-19,27-jun-24
